S.No,Product,Product Specifications,Manufacture,Qty,Price Each,GST
1,Surgical Gloves , Pre Powdered ( size 6.0 to 7.5 ),Surgicare,25 Pairs,18.15,12%
2,Surgical Gloves , Pre Powdered ( size 8.0 to 8.5 ),Surgicare,25 Pairs,18.7,12%
3,Surgical Gloves," Pre
Powdered for wards ( size 6.0 to 7.5 )",Kaltex,25 Pairs,13.2,12%
4,Surgical Gloves ,"Pre Powdered for wards  ( size 8.0
to 8.5 )",Kaltex,25 Pairs,13.86,12%
5,Surgical Gloves,"Powder free
Polymer coated ( size 6.0 to 7.5 )",Surgicare,50 Pairs,18.7,12%
6,Surgical Gloves ," Powder free
Polymer coated ( size 8.0 to 8.5 )",Surgicare,50 Pairs,19.25,12%
7,Gamma Sterile Surgical Gloves in Poly Peel open pouch , ( Powder Free meant for all surgeries  ( size 6.0 to 7.5 ),Surgicare- Premier Blister Pack,50 Pairs,30.8,12%
8,Gamma Sterile Surgical Gloves in Poly Peel open pouch,( Powder Free meant for all surgeries  ( size 8.0 to 8.5 ),Surgicare- Premier Blister Pack,50 Pairs,31.35,12%
9,Gamma Sterile Surgical Gloves in Poly Peel open pouch ,( Powder Free meant for all surgeries  ( size 6.0 to 7.5 ),Surgicare Neuro Half Fold Pack,50 Pairs,35.75,12%
10,Gamma Sterile Surgical Gloves in Poly Peel open pouch ," ( Powder Free meant for Micro & Specialty  surgeries  (
size 8.0 to 8.5 )",Surgicare Neuro Half Fold Pack,50 Pairs,36.3,12%
11,Gamma Sterile Surgical Gloves in Poly Peel open pouch ," ( Powder Free meant for Orthopedic  surgeries  ( size
6.0 to 7.5 )","Surgicare Ortho - Blister Pack
Surgicare Ortho - Blister Pack",50 Pairs,38.5,12%
12,Gamma Sterile Surgical Gloves in Poly Peel open pouch,"( Powder Free meant for
Ortrhopedic  surgeries  ( size 8.0 to 8.5 )",,50 Pairs,39.05,12%
13,Gamma Sterile Surgical Gloves ,Powder Free in Blister Pack ( Dual Gloves in Single Pack )  ( size 6.0 to 7.5 ),Surgicare Dual Blister Pack,25 Pairs,61.6,12%
14,Gamma Sterile Surgical Gloves ,Powder Free in Blister Pack ( Dual Gloves in Single Pack )  ( size 8.0 to 8.5 ),Surgicare Dual Blister Pack,25 Pairs,62.15,12%
15,Medical Exam Rubber Gloves ," Pre Powdered AQL 1.5  ( Small , Medium & Large )",Kaltex Plus,"100
pieces",2.2,12%
16,Medical Exam Rubber Gloves ,"Powder Free AQL 1.5  ( Small
, Medium & Large )",Kaltex Plus,"100
pieces",2.75,12%
