S.No.,Product Name,Product Specifications,Manufacturer  , Qty ,Price Each, GST 12% 
1,"Single-use Surgical Gown made of non-woven Fabric, BIS Level 3, Wraparound, with 2 hand towels, set-in-sleeve folding, hook & loop neck tie, book wrap packing, EO Sterile",Surgical Gown,Shalex Meditech, 500.00 ,92.4,12%
2,Single-Use Surgical Gown BIS Level-3 (Reinforced),Surgical Gown,Shalex Meditech, 500.00 ,114.4,12%
3,Single Use Coverall Level-1,Coverall,Shalex Meditech, 500.00 ,127.05,12%
4,Bed Sheet SMS with Pipin,Surgical Drapes & Accessories,Shalex Meditech, 500.00 ,36.96,12%
5,Polycoated 80 x 120cm,Surgical Drapes & Accessories,Shalex Meditech, 500.00 ,40.425,12%
6,Polycoated 160 x 120cm,Surgical Drapes & Accessories,Shalex Meditech, 500.00 ,61.215,12%
7,Polycoated 160 x 200cm,Surgical Drapes & Accessories,Shalex Meditech, 500.00 ,86.625,12%
8,Polycoated 160 x 300cm,Surgical Drapes & Accessories,Shalex Meditech, 500.00 ,118.965,12%
9,Polycoated Absorbent 80 x 120cm,Surgical Drapes & Accessories,Shalex Meditech, 500.00 ,66.99,12%
10,Polycoated Absorbent 160 x 120cm,Surgical Drapes & Accessories,Shalex Meditech, 500.00 ,85.47,12%
11,Polycoated Absorbent 160 x 200cm,Surgical Drapes & Accessories,Shalex Meditech, 500.00 ,86.625,12%
12,Polycoated Absorbent 160 x300cm,Surgical Drapes & Accessories,Shalex Meditech, 500.00 ,144.375,12%
13,Mayo Trolley Drape,Surgical Drapes & Accessories,Shalex Meditech, 500.00 ,55.44,12%
14,Blended Fabric Reinforced with Polyester 27 x 34inches,Surgical Drapes & Accessories,Shalex Meditech, 500.00 ,165.165,12%
